epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
141,31732,1.05185,1.59383,1.1979,0.83069,0.8494,0.87532,0.53188,1.23945,1.56222,1.24195,0.00556742,0.00556742,0.00556742,11.279555,12.72102
142,31866.1,1.05117,1.64134,1.20218,0.77939,0.84767,0.84563,0.52178,1.21715,1.54579,1.23058,0.00551584,0.00551584,0.00551584,11.328385,12.520285
143,32000.6,1.06491,1.65031,1.20164,0.78985,0.83314,0.82756,0.49811,1.24473,1.57645,1.24599,0.00546421,0.00546421,0.00546421,11.439595,12.78091
144,32135.4,1.05301,1.62626,1.19488,0.81739,0.83479,0.85897,0.51654,1.2499,1.55387,1.25703,0.00541253,0.00541253,0.00541253,11.316155,12.813665
145,32269.8,1.04694,1.61353,1.19435,0.83189,0.80217,0.83731,0.51188,1.24783,1.52439,1.24496,0.00536081,0.00536081,0.00536081,11.257105,12.750555
146,32405.7,1.04131,1.6098,1.19497,0.80203,0.84959,0.84714,0.49748,1.27308,1.5301,1.26948,0.00530906,0.00530906,0.00530906,11.21208,12.98242
147,32543.7,1.05577,1.6379,1.20631,0.82633,0.83762,0.85845,0.49943,1.25175,1.53866,1.26026,0.00525728,0.00525728,0.00525728,11.36564,12.817175
148,32678.5,1.02166,1.58994,1.18642,0.82834,0.8192,0.84299,0.5135,1.26374,1.55435,1.26568,0.00520548,0.00520548,0.00520548,11.03202,12.93092
149,32812.9,1.04085,1.57249,1.18315,0.81809,0.79125,0.82715,0.49084,1.29051,1.61291,1.27149,0.00515366,0.00515366,0.00515366,11.15359,13.19897
150,32947.3,1.03678,1.58829,1.18638,0.85592,0.83436,0.89791,0.53813,1.24166,1.54404,1.24687,0.00510184,0.00510184,0.00510184,11.14371,12.726795
151,33081.9,1.0654,1.64903,1.19538,0.85616,0.84026,0.89241,0.51678,1.25589,1.55868,1.25779,0.00505,0.00505,0.00505,11.4326,12.86454
152,33217,1.03522,1.58764,1.18492,0.84063,0.81743,0.85042,0.51805,1.24379,1.55129,1.25233,0.00499816,0.00499816,0.00499816,11.12917,12.75821
153,33352.8,1.03714,1.61691,1.18917,0.79892,0.78135,0.80316,0.50454,1.24726,1.57452,1.24258,0.00494634,0.00494634,0.00494634,11.179215,12.79284
154,33487.6,1.03997,1.60024,1.2023,0.84824,0.81197,0.85272,0.51065,1.25826,1.58112,1.25304,0.00489452,0.00489452,0.00489452,11.203465,12.89763
155,33622.8,1.03656,1.6213,1.17856,0.85312,0.8387,0.88956,0.53147,1.24061,1.58202,1.23301,0.00484272,0.00484272,0.00484272,11.16334,12.73611
156,33755.9,1.03599,1.59301,1.17891,0.80457,0.78379,0.81478,0.51291,1.24096,1.56303,1.24466,0.00479094,0.00479094,0.00479094,11.1313,12.73722
157,33890.6,1.03695,1.60025,1.18788,0.82621,0.807,0.83335,0.51435,1.25372,1.57938,1.24169,0.00473919,0.00473919,0.00473919,11.159195,12.844815
158,34025.6,1.01855,1.55366,1.16788,0.88417,0.84544,0.90171,0.52013,1.25279,1.50869,1.23429,0.00468747,0.00468747,0.00468747,10.944605,12.75605
159,34161.1,1.01459,1.54805,1.17446,0.8481,0.85501,0.88855,0.52859,1.23282,1.53664,1.22935,0.00463579,0.00463579,0.00463579,10.919165,12.626815
160,34298.9,1.02841,1.54439,1.18131,0.88311,0.84432,0.9013,0.54828,1.22104,1.5308,1.22664,0.00458416,0.00458416,0.00458416,11.02943,12.52856
