epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
85,9416.53,1.21401,5.56738,1.31414,0.65936,0.68991,0.65755,0.40955,1.39589,5.42913,1.32922,0.00820525,0.00820525,0.00820525,16.643665,42.06000288
86,9522.59,1.2026,5.50923,1.321,0.59547,0.61841,0.60459,0.33758,1.65358,6.59134,1.42436,0.00816514,0.00816514,0.00816514,16.51023,50.87165771
87,9627.39,1.20069,5.60797,1.30563,0.73466,0.69698,0.73956,0.4322,1.36732,5.29295,1.28227,0.00812468,0.00812468,0.00812468,16.57159,40.99158202
88,9731.56,1.17425,5.40673,1.29837,0.61704,0.63909,0.63455,0.3893,1.42998,5.48869,1.37782,0.00808389,0.00808389,0.00808389,16.16116,42.55512084
89,9836.36,1.1978,5.54444,1.30899,0.68723,0.68706,0.70731,0.41592,1.3808,5.24806,1.2895,0.00804277,0.00804277,0.00804277,16.491425,40.66201416
90,9942.77,1.20174,5.52881,1.30536,0.65096,0.70721,0.65452,0.39101,1.49164,5.69952,1.39495,0.00800131,0.00800131,0.00800131,16.4999,44.15335197
91,10048.7,1.19562,5.54205,1.30499,0.70267,0.66118,0.70791,0.42614,1.35938,5.3234,1.27994,0.00795954,0.00795954,0.00795954,16.466685,41.21737931
92,10154.4,1.18216,5.51161,1.31121,0.70537,0.68101,0.73289,0.42389,1.42556,5.58357,1.31014,0.00791744,0.00791744,0.00791744,16.344625,43.19879116
93,10259.3,1.18116,5.52657,1.29106,0.74079,0.72424,0.77129,0.42814,1.43306,5.57871,1.36222,0.00787503,0.00787503,0.00787503,16.32186,43.21435755
94,10363.5,1.1857,5.40001,1.29486,0.71719,0.73338,0.7289,0.41328,1.44512,5.39637,1.34328,0.00783231,0.00783231,0.00783231,16.23505,41.82780347
95,10468.6,1.21132,5.5658,1.31322,0.69843,0.69525,0.74677,0.43886,1.36767,5.37863,1.29716,0.00778929,0.00778929,0.00778929,16.62053,41.64856894
96,10573.4,1.17018,5.39048,1.28207,0.73658,0.74765,0.75267,0.41643,1.43128,5.88928,1.34464,0.00774596,0.00774596,0.00774596,16.089935,45.52585894
97,10678.6,1.18456,5.42649,1.30488,0.80305,0.70181,0.77102,0.45523,1.32831,5.19237,1.2588,0.00770234,0.00770234,0.00770234,16.26801,40.21312851
98,10782,1.19082,5.43459,1.28729,0.66562,0.72465,0.73057,0.43974,1.38006,5.45783,1.29371,0.00765843,0.00765843,0.00765843,16.296675,42.23892265
99,10887.5,1.17112,5.34439,1.28364,0.73674,0.78574,0.7971,0.44864,1.38804,5.45921,1.3267,0.00761423,0.00761423,0.00761423,16.05325,42.28219635
100,10992.9,1.19504,5.41685,1.29581,0.71945,0.64962,0.71079,0.4165,1.39366,5.37214,1.27974,0.00756976,0.00756976,0.00756976,16.323365,41.58214464
101,11097.5,1.16585,5.39279,1.28167,0.66104,0.62686,0.6611,0.41293,1.43937,5.18591,1.34997,0.007525,0.007525,0.007525,16.05917,40.2555825
102,11201.1,1.16124,5.26256,1.27236,0.74379,0.7486,0.77917,0.43688,1.37168,5.97121,1.29212,0.00747997,0.00747997,0.00747997,15.8804,46.08741496
103,11306.4,1.15114,5.17709,1.27096,0.6852,0.66245,0.68963,0.39088,1.48781,5.38472,1.37182,0.00743468,0.00743468,0.00743468,15.71708,41.76837202
104,11413.5,1.16324,5.28282,1.27963,0.70326,0.70481,0.71686,0.41755,1.42425,5.35419,1.34096,0.00738913,0.00738913,0.00738913,15.926565,41.5084687
105,11518.1,1.17255,5.36841,1.28274,0.78105,0.73318,0.75921,0.44173,1.3345,5.31599,1.24289,0.00734332,0.00734332,0.00734332,16.086645,41.12382998
106,11622.8,1.14517,5.39403,1.26286,0.81151,0.7413,0.8221,0.47219,1.32216,5.21539,1.2389,0.00729725,0.00729725,0.00729725,15.877095,40.36527088
107,11727.2,1.17052,5.3763,1.27743,0.69903,0.67833,0.71591,0.41539,1.42216,5.37958,1.30987,0.00725094,0.00725094,0.00725094,16.071345,41.66759641
108,11832.3,1.14725,5.21169,1.26698,0.69504,0.71581,0.73431,0.43032,1.39292,5.1126,1.28353,0.00720439,0.00720439,0.00720439,15.716535,39.63883659
109,11935.9,1.16602,5.28148,1.27513,0.68786,0.69635,0.70171,0.42529,1.39326,5.21793,1.26139,0.00715761,0.00715761,0.00715761,15.939325,40.40660142
110,12040.1,1.14509,5.1254,1.26443,0.72787,0.69702,0.7203,0.42366,1.39987,5.35512,1.30399,0.00711059,0.00711059,0.00711059,15.61022,41.47805589
111,12143.4,1.16431,5.30724,1.26816,0.72491,0.70649,0.75516,0.4471,1.35891,5.21456,1.28419,0.00706335,0.00706335,0.00706335,15.941805,40.40398503
112,12247.8,1.15617,5.21928,1.27521,0.7424,0.7102,0.75878,0.4436,1.41594,5.26527,1.32948,0.00701588,0.00701588,0.00701588,15.80337,40.82952882
113,12351.6,1.15588,5.18212,1.25933,0.74768,0.69859,0.75446,0.4344,1.39239,5.19218,1.31325,0.0069682,0.0069682,0.0069682,15.740215,40.2650523
114,12456.4,1.15784,5.16737,1.26513,0.73009,0.71934,0.75456,0.43374,1.37544,5.09645,1.27113,0.00692031,0.00692031,0.00692031,15.748865,39.50488547
115,12560.8,1.13852,5.11344,1.26119,0.70229,0.68962,0.7122,0.43294,1.37652,5.23706,1.29127,0.00687222,0.00687222,0.00687222,15.544125,40.57952833
116,12665.4,1.13183,5.0635,1.25367,0.81799,0.7564,0.78448,0.44914,1.35693,5.06219,1.27703,0.00682392,0.00682392,0.00682392,15.43273,39.25369088
117,12770.6,1.14537,5.16946,1.25315,0.6904,0.69514,0.68153,0.41582,1.42072,5.51231,1.30043,0.00677543,0.00677543,0.00677543,15.63946,42.65291815
118,12876.7,1.12637,5.14995,1.2551,0.76291,0.75123,0.7788,0.44498,1.39095,5.12875,1.29884,0.00672675,0.00672675,0.00672675,15.480375,39.77455513
119,12981.4,1.14023,5.16251,1.25907,0.7531,0.70746,0.73873,0.43057,1.40203,5.32776,1.30176,0.00667789,0.00667789,0.00667789,15.60284,41.26997684
120,13085.9,1.11128,5.0139,1.23868,0.75857,0.71633,0.77698,0.44632,1.33916,5.01913,1.24665,0.00662885,0.00662885,0.00662885,15.20652,38.90006828
121,13190.7,1.12531,5.0341,1.23764,0.82217,0.82158,0.84926,0.46725,1.34988,4.96421,1.26266,0.00657963,0.00657963,0.00657963,15.330385,38.50410445
122,13293.7,1.13526,4.99064,1.25332,0.75315,0.70436,0.73455,0.4349,1.35406,5.17221,1.25541,0.00653025,0.00653025,0.00653025,15.38507,40.05678038
123,13398.3,1.11423,5.02915,1.24485,0.75936,0.71453,0.75192,0.43451,1.37277,5.1132,1.26339,0.00648071,0.00648071,0.00648071,15.25315,39.62211107
124,13504.1,1.12792,5.05995,1.23573,0.75006,0.73826,0.75848,0.44537,1.34767,4.98851,1.26492,0.00643101,0.00643101,0.00643101,15.372945,38.68839152
125,13607.8,1.12918,5.03132,1.24922,0.74245,0.74726,0.777,0.45677,1.34053,5.20958,1.26728,0.00638115,0.00638115,0.00638115,15.374,40.34870173
126,13712.2,1.1143,4.95899,1.2448,0.72771,0.69815,0.75032,0.4394,1.34968,5.20256,1.24523,0.00633115,0.00633115,0.00633115,15.18344,40.27392673
127,13816.7,1.10216,4.90928,1.24073,0.77639,0.73009,0.76101,0.44624,1.36245,5.04672,1.26451,0.00628101,0.00628101,0.00628101,15.036575,39.12433152
128,13922.3,1.10557,4.91139,1.23671,0.77264,0.74123,0.77928,0.46369,1.35443,5.1456,1.23193,0.00623074,0.00623074,0.00623074,15.05823,39.83327611
129,14027.8,1.11898,4.99901,1.23753,0.77034,0.79043,0.8014,0.44932,1.34795,4.91371,1.27471,0.00618034,0.00618034,0.00618034,15.247655,38.13680551
130,14132.8,1.11789,5.01614,1.24072,0.74853,0.75343,0.75555,0.44513,1.38304,5.08362,1.30125,0.00612981,0.00612981,0.00612981,15.261395,39.43759472
131,14237.8,1.0993,4.90779,1.23663,0.80507,0.78581,0.80676,0.46184,1.33404,5.03356,1.26052,0.00607916,0.00607916,0.00607916,15.007485,39.02133874
132,14342.7,1.09751,4.85464,1.23,0.77375,0.76687,0.78228,0.47168,1.30635,4.92457,1.25161,0.0060284,0.0060284,0.0060284,14.930965,38.1949276
133,14447.4,1.09536,4.91825,1.23425,0.7793,0.77379,0.78547,0.4589,1.35592,5.06324,1.26129,0.00597754,0.00597754,0.00597754,14.984825,39.24455631
134,14552.2,1.11145,4.8644,1.22982,0.77392,0.73731,0.75335,0.4504,1.33958,5.03022,1.26082,0.00592657,0.00592657,0.00592657,15.045005,38.99635986
135,14658.6,1.09016,4.84012,1.23654,0.79101,0.72937,0.77297,0.45559,1.34843,4.93873,1.26532,0.00587551,0.00587551,0.00587551,14.87113,38.31460827
136,14764.4,1.10534,4.8452,1.22138,0.75038,0.70112,0.76352,0.45794,1.33351,4.93155,1.27214,0.00582435,0.00582435,0.00582435,14.96732,38.26750153
137,14869.7,1.08295,4.82411,1.22886,0.7637,0.71626,0.76302,0.45889,1.30802,5.00787,1.24885,0.00577311,0.00577311,0.00577311,14.789525,38.81653467
138,14975.5,1.08066,4.75267,1.23171,0.80875,0.75053,0.78772,0.47201,1.29556,4.82721,1.22248,0.00572179,0.00572179,0.00572179,14.705185,37.43513769
139,15081.5,1.10778,4.88793,1.23311,0.75451,0.76044,0.77013,0.45422,1.32784,4.85617,1.24755,0.0056704,0.0056704,0.0056704,15.045945,37.6773306
140,15187.8,1.10461,4.92119,1.24076,0.7555,0.71531,0.75748,0.46022,1.32618,4.90966,1.24724,0.00561894,0.00561894,0.00561894,15.066905,38.07811841
141,15292.8,1.10868,4.80433,1.23412,0.79185,0.73682,0.78234,0.46807,1.32567,4.95411,1.24618,0.00556742,0.00556742,0.00556742,14.97061,38.41035613
142,15398.2,1.08658,4.70896,1.22301,0.8223,0.74718,0.79952,0.46821,1.32121,4.87589,1.24829,0.00551584,0.00551584,0.00551584,14.692825,37.82573876
143,15505.4,1.10615,4.83654,1.22453,0.78997,0.78277,0.78853,0.46592,1.32476,4.79811,1.25798,0.00546421,0.00546421,0.00546421,14.96946,37.25200132
144,15611.4,1.07577,4.75625,1.20867,0.81534,0.7572,0.80289,0.47068,1.32234,4.94149,1.23599,0.00541253,0.00541253,0.00541253,14.63753,38.3052838
145,15716.8,1.09184,4.86936,1.2252,0.78617,0.70189,0.77398,0.4675,1.30925,4.9085,1.2267,0.00536081,0.00536081,0.00536081,14.89596,38.04849122
146,15823.3,1.07913,4.76747,1.22826,0.77683,0.74598,0.78238,0.477,1.29021,4.73022,1.20317,0.00530906,0.00530906,0.00530906,14.703335,36.68778359
147,15928.6,1.11382,4.88693,1.23914,0.71161,0.74433,0.7593,0.46388,1.30194,4.81019,1.21874,0.00525728,0.00525728,0.00525728,15.09929,37.30305092
148,16033.7,1.08621,4.74655,1.21808,0.75216,0.72972,0.77131,0.47241,1.2902,4.83201,1.21407,0.00520548,0.00520548,0.00520548,14.720245,37.46195322
